Genre,Movie,Release Year,Rating,Runtime,Gross
"Animation, Adventure, Comedy",Tarzan,1999,7.3,88 ,448191819
"Action, Adventure, Comedy",Men in Black II,2002,6.2,88 ,445135288
"Action, Mystery, Thriller",The Bourne Ultimatum,2007,8,115 ,444100035
"Action, Adventure, Fantasy",The Mummy Returns,2001,6.4,130 ,443280904
"Animation, Adventure, Comedy",Alvin and the Chipmunks: The Squeakquel,2009,4.5,88 ,443140005
"Drama, Musical, Romance",Les Misérables,2012,7.5,158 ,442299309
Horror,The Exorcist,1973,8.1,122 ,441306145
"Comedy, Drama",Mrs. Doubtfire,1993,7.1,125 ,441286195
"Action, Adventure, Sci-Fi",Terminator Genisys,2015,6.3,126 ,440603537
"Action, Adventure, Fantasy",Warcraft,2016,6.7,123 ,439048914
"Drama, Music, Romance",A Star Is Born,2018,7.6,136 ,436233122
"Biography, Drama, Musical",The Greatest Showman,2017,7.5,105 ,435732529
"Action, Sci-Fi",Terminator 3: Rise of the Machines,2003,6.3,109 ,433371112
"Action, Adventure, Comedy",Pokémon: Detective Pikachu,2019,6.5,104 ,433230304
"Action, Adventure, Fantasy",Shang-Chi and the Legend of the Ten Rings,2021,7.4,132 ,432243292
"Action, Adventure, Thriller",Die Another Day,2002,6.1,133 ,431971116
"Animation, Adventure, Comedy",The Secret Life of Pets 2,2019,6.4,86 ,431058415
"Adventure, Drama, Romance",Cast Away,2000,7.8,143 ,429632142
"Action, Adventure, Sci-Fi",Rampage,2018,6.1,107 ,428028233
"Biography, Drama, History",The King's Speech,2010,8,118 ,427374317
"Action, Sci-Fi",The Matrix Revolutions,2003,6.7,129 ,427344325
"Biography, Comedy, Drama",The Intouchables,2011,8.5,112 ,426588510
"Action, Comedy, Crime",Bad Boys for Life,2020,6.5,124 ,426505244
"Drama, Western",Django Unchained,2012,8.4,165 ,426074373
"Animation, Family, Fantasy",Beauty and the Beast,1991,8,84 ,424967620
"Adventure, Drama, Western",Dances with Wolves,1990,8,181 ,424208848
Drama,Wo he wo de jia xiang,2020,6.4,153 ,422390820
"Action, Adventure, Family",The Chronicles of Narnia: Prince Caspian,2008,6.5,150 ,419665568
"Comedy, Drama, Romance",Sex and the City,2008,5.7,145 ,418765519
"Action, Adventure, Drama",Zhong guo ji zhang,2019,6.2,111 ,417282021
"Action, Adventure, Fantasy",The Mummy,1999,7.1,124 ,415933406
"Adventure, Family, Fantasy",The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,113 ,415686217
"Action, Thriller",Jason Bourne,2016,6.6,123 ,415484914
"Action, Adventure, Sci-Fi",Mad Max: Fury Road,2015,8.1,120 ,415261382
"Action, Sci-Fi",The Wolverine,2013,6.7,126 ,414828246
"Action, Adventure, Comedy",Kingsman: The Secret Service,2014,7.7,129 ,414351546
"Adventure, Comedy, Family",Night at the Museum: Battle of the Smithsonian,2009,6,105 ,413106170
"Action, Adventure",Batman,1989,7.5,126 ,411569241
"Action, Drama, Music",The Bodyguard,1992,6.3,129 ,411046449
"Action, Adventure, Sci-Fi",Pacific Rim,2013,6.9,131 ,411002906
"Action, Adventure, Comedy",Kingsman: The Golden Circle,2017,6.7,141 ,410902662
"Action, Adventure, Fantasy",The Mummy,2017,5.4,110 ,409231607
"Animation, Adventure, Comedy",Ice Age: Collision Course,2016,5.6,94 ,408754975
"Drama, Fantasy, Romance",Twilight,2008,5.3,122 ,408430415
"Drama, Mystery, Sci-Fi",Signs,2002,6.8,106 ,408247917
"Action, Sci-Fi, Thriller",X2,2003,7.4,134 ,407711549
"Animation, Adventure, Comedy",Sing 2,2021,7.4,110 ,407562651
"Adventure, Family, Fantasy",Fantastic Beasts: The Secrets of Dumbledore,2022,6.2,142 ,406950844
"Biography, Comedy, Crime",The Wolf of Wall Street,2013,8.2,180 ,406878233
"Action, Adventure, Sci-Fi",Alita: Battle Angel,2019,7.3,122 ,404980543
"Action, Adventure, Fantasy",The Mummy: Tomb of the Dragon Emperor,2008,5.2,112 ,403449830
"Adventure, Mystery, Sci-Fi",Prometheus,2012,7,124 ,403354469
"Action, Adventure, Comedy",Sonic the Hedgehog 2,2022,6.5,122 ,402656846
"Drama, Romance, War",Gone with the Wind,1939,8.2,238 ,402382193
"Comedy, Musical, Romance",Mamma Mia! Here We Go Again,2018,6.6,114 ,402264843
"Action, Adventure, Fantasy",Eternals,2021,6.3,156 ,402064899
"Action, Adventure, Drama",Dune: Part One,2021,8,155 ,402027830
"Action, Adventure",Uncharted,2022,6.3,116 ,401748820
"Action, Adventure, Sci-Fi",Tron,2010,6.8,125 ,400063852
"Action, Adventure, Thriller",Mission: Impossible III,2006,6.9,126 ,398479497
"Action, Adventure, Drama",Snow White and the Huntsman,2012,6.1,127 ,396592829
"Comedy, Musical, Romance",Grease,1978,7.2,110 ,396271103
"Animation, Adventure, Comedy",Toy Story,1995,8.3,81 ,394436586
"Action, Adventure, Sci-Fi",Solo: A Star Wars Story,2018,6.9,135 ,392924807
"Action, Adventure, Fantasy",Black Adam,2022,6.3,125 ,392913058
"Action, Adventure, Sci-Fi",Superman Returns,2006,6.1,154 ,391081192
"Action, Adventure, Drama",Robin Hood: Prince of Thieves,1991,6.9,143 ,390493908
"Action, Adventure",Raiders of the Lost Ark,1981,8.4,115 ,389925971
"Action, Adventure, Sci-Fi",Independence Day: Resurgence,2016,5.2,120 ,389681935
"Action, Thriller",Live Free or Die Hard,2007,7.1,128 ,388156011
"Adventure, Comedy, Fantasy",Zhuo yao ji,2015,6.1,117 ,387053506
"Action, Adventure, Fantasy",Godzilla: King of the Monsters,2019,6,132 ,386600138
"Animation, Adventure, Comedy",Home,2015,6.6,94 ,386041607
